Average Heart Rate,Name,Position,Motion,Heart Rate,Breathing,Clothing_Col,Sleeve_Len,Headgear,Recorded?,Front View,Side View,Kept?
83,2024-10-18-16-19-35,sitting_arms_occluding_chest,none,normal,slow,skin_easy_to_detect,short,none,yes,,,yes
92,2024-10-18-16-20-50,sitting_arms_occluding_chest,subtle,normal,slow,skin_easy_to_detect,short,none,yes,,,yes
93,2024-10-18-16-21-43,sitting_arms_occluding_chest,twitch,normal,slow,skin_easy_to_detect,short,none,yes,,,yes
76,2024-10-18-16-23-38,sitting_arms_occluding_chest,rocking,normal,slow,skin_easy_to_detect,short,none,yes,,,yes
84,2024-10-18-16-24-40,sitting_arms_occluding_chest,none,normal,normal,skin_easy_to_detect,short,none,yes,,,yes
82,2024-10-18-16-25-36,sitting_arms_occluding_chest,subtle,normal,normal,skin_easy_to_detect,short,none,yes,,,yes
87,2024-10-18-16-26-27,sitting_arms_occluding_chest,twitch,normal,normal,skin_easy_to_detect,short,none,yes,,,yes
81,2024-10-18-16-28-59,sitting_arms_occluding_chest,rocking,normal,normal,skin_easy_to_detect,short,none,yes,,,yes
74,2024-10-18-16-29-47,sitting_arms_occluding_chest,none,normal,fast,skin_easy_to_detect,short,none,yes,,,yes
79,2024-10-18-16-30-39,sitting_arms_occluding_chest,subtle,normal,fast,skin_easy_to_detect,short,none,yes,,,yes
84,2024-10-18-16-31-23,sitting_arms_occluding_chest,twitch,normal,fast,skin_easy_to_detect,short,none,yes,,,yes
82,2024-10-18-16-32-02,sitting_arms_occluding_chest,rocking,normal,fast,skin_easy_to_detect,short,none,yes,,,yes
71,2024-10-18-16-35-26,lying_on_back,none,normal,slow,skin_easy_to_detect,short,none,yes,,,yes
79,2024-10-18-16-36-33,lying_on_back,subtle,normal,slow,skin_easy_to_detect,short,none,yes,,,yes
83,2024-10-18-16-37-44,lying_on_back,twitch,normal,slow,skin_easy_to_detect,short,none,yes,,,yes
